triples,k,mode,memory_usage
2,2,wasm,65.536
3,2,wasm,65.536
4,2,wasm,65.536
5,2,wasm,65.536
6,2,wasm,65.536
7,2,wasm,65.536
8,2,wasm,65.536
9,2,wasm,65.536
10,2,wasm,65.536
11,2,wasm,65.536
12,2,wasm,65.536
13,2,wasm,65.536
14,2,wasm,65.536
15,2,wasm,65.536
16,2,wasm,65.536
17,2,wasm,65.536
18,2,wasm,65.536
19,2,wasm,131.072
20,2,wasm,131.072
21,2,wasm,131.072
22,2,wasm,131.072
23,2,wasm,131.072
24,2,wasm,131.072
25,2,wasm,131.072
26,2,wasm,131.072
27,2,wasm,131.072
28,2,wasm,131.072
29,2,wasm,131.072
30,2,wasm,131.072
31,2,wasm,131.072
32,2,wasm,131.072
33,2,wasm,131.072
34,2,wasm,196.608
35,2,wasm,196.608
36,2,wasm,196.608
37,2,wasm,196.608
38,2,wasm,196.608
39,2,wasm,196.608
40,2,wasm,196.608
41,2,wasm,196.608
42,2,wasm,196.608
43,2,wasm,196.608
44,2,wasm,196.608
45,2,wasm,262.144
46,2,wasm,262.144
47,2,wasm,262.144
48,2,wasm,262.144
49,2,wasm,262.144
50,2,wasm,262.144
2,3,wasm,65.536
3,3,wasm,65.536
4,3,wasm,65.536
5,3,wasm,65.536
6,3,wasm,65.536
7,3,wasm,65.536
8,3,wasm,131.072
9,3,wasm,131.072
10,3,wasm,131.072
11,3,wasm,196.608
12,3,wasm,196.608
13,3,wasm,262.144
14,3,wasm,262.144
15,3,wasm,327.68
16,3,wasm,393.216
17,3,wasm,458.752
18,3,wasm,524.288
19,3,wasm,589.824
20,3,wasm,720.896
21,3,wasm,786.432
22,3,wasm,917.504
23,3,wasm,1048.576
24,3,wasm,1179.648
25,3,wasm,1310.72
26,3,wasm,1507.328
27,3,wasm,1638.4
28,3,wasm,1900.544
29,3,wasm,2097.152
30,3,wasm,2293.76
31,3,wasm,2490.368
32,3,wasm,2752.512
33,3,wasm,3014.656
34,3,wasm,3276.8
35,3,wasm,3604.48
36,3,wasm,3866.624
37,3,wasm,4194.304
38,3,wasm,4521.984
39,3,wasm,4980.736
40,3,wasm,5373.952
41,3,wasm,5767.168
42,3,wasm,6160.384
43,3,wasm,6684.672
44,3,wasm,7143.424
45,3,wasm,7602.176
46,3,wasm,8126.464
47,3,wasm,8650.752
48,3,wasm,9175.04
49,3,wasm,9764.864
50,3,wasm,10354.688
2,4,wasm,65.536
3,4,wasm,65.536
4,4,wasm,65.536
5,4,wasm,65.536
6,4,wasm,65.536
7,4,wasm,131.072
8,4,wasm,131.072
9,4,wasm,196.608
10,4,wasm,262.144
11,4,wasm,327.68
12,4,wasm,458.752
13,4,wasm,655.36
14,4,wasm,851.968
15,4,wasm,1114.112
16,4,wasm,1376.256
17,4,wasm,1769.472
18,4,wasm,2228.224
19,4,wasm,2686.976
20,4,wasm,3276.8
21,4,wasm,4128.768
22,4,wasm,4915.2
23,4,wasm,5767.168
24,4,wasm,6881.28
25,4,wasm,8060.928
26,4,wasm,9633.792
27,4,wasm,11075.584
28,4,wasm,12779.52
29,4,wasm,14680.064
30,4,wasm,16777.216
31,4,wasm,19005.44
32,4,wasm,22085.632
33,4,wasm,24838.144
34,4,wasm,28049.408
35,4,wasm,31391.744
36,4,wasm,34996.224
37,4,wasm,38928.384
38,4,wasm,43188.224
39,4,wasm,47775.744
40,4,wasm,53870.592
2,5,wasm,65.536
3,5,wasm,65.536
4,5,wasm,65.536
5,5,wasm,65.536
6,5,wasm,65.536
7,5,wasm,131.072
8,5,wasm,196.608
9,5,wasm,262.144
10,5,wasm,393.216
11,5,wasm,589.824
12,5,wasm,917.504
13,5,wasm,1376.256
14,5,wasm,1966.08
15,5,wasm,2818.048
16,5,wasm,3801.088
17,5,wasm,5046.272
18,5,wasm,6946.816
19,5,wasm,9043.968
20,5,wasm,12124.16
21,5,wasm,15335.424
22,5,wasm,19136.512
23,5,wasm,23724.032
24,5,wasm,30474.24
25,5,wasm,37027.84
26,5,wasm,44695.552
27,5,wasm,55902.208
2,6,wasm,65.536
3,6,wasm,65.536
4,6,wasm,65.536
5,6,wasm,65.536
6,6,wasm,65.536
7,6,wasm,131.072
8,6,wasm,196.608
9,6,wasm,327.68
10,6,wasm,524.288
11,6,wasm,851.968
12,6,wasm,1441.792
13,6,wasm,2293.76
14,6,wasm,3604.48
15,6,wasm,5636.096
16,6,wasm,8192
17,6,wasm,12189.696
18,6,wasm,16973.824
19,6,wasm,24379.392
20,6,wasm,33030.144
21,6,wasm,46071.808
22,6,wasm,60555.264
2,7,wasm,65.536
3,7,wasm,65.536
4,7,wasm,65.536
5,7,wasm,65.536
6,7,wasm,65.536
7,7,wasm,131.072
8,7,wasm,196.608
9,7,wasm,327.68
10,7,wasm,589.824
11,7,wasm,1048.576
12,7,wasm,1835.008
13,7,wasm,3276.8
14,7,wasm,5636.096
15,7,wasm,8912.896
16,7,wasm,14548.992
17,7,wasm,23134.208
18,7,wasm,34275.328
19,7,wasm,52101.12
2,8,wasm,65.536
3,8,wasm,65.536
4,8,wasm,65.536
5,8,wasm,65.536
6,8,wasm,65.536
7,8,wasm,131.072
8,8,wasm,196.608
9,8,wasm,327.68
10,8,wasm,589.824
11,8,wasm,1114.112
12,8,wasm,2097.152
13,8,wasm,3932.16
14,8,wasm,7208.96
15,8,wasm,12713.984
16,8,wasm,22085.632
17,8,wasm,35586.048
18,8,wasm,58851.328
2,9,wasm,65.536
3,9,wasm,65.536
4,9,wasm,65.536
5,9,wasm,65.536
6,9,wasm,65.536
7,9,wasm,131.072
8,9,wasm,196.608
9,9,wasm,327.68
10,9,wasm,589.824
11,9,wasm,1179.648
12,9,wasm,2228.224
13,9,wasm,4259.84
14,9,wasm,8192
15,9,wasm,15269.888
16,9,wasm,27852.8
17,9,wasm,49872.896
18,9,wasm,87556.096
2,10,wasm,65.536
3,10,wasm,65.536
4,10,wasm,65.536
5,10,wasm,65.536
6,10,wasm,65.536
7,10,wasm,131.072
8,10,wasm,196.608
9,10,wasm,327.68
10,10,wasm,589.824
11,10,wasm,1179.648
12,10,wasm,2228.224
13,10,wasm,4456.448
14,10,wasm,8716.288
15,10,wasm,16842.752
16,10,wasm,32047.104
17,10,wasm,60162.048
2,2,js,192.216
3,2,js,159.9768
4,2,js,184.7584
5,2,js,201.6096
6,2,js,256.7576
7,2,js,271.248
8,2,js,441.57120000000003
9,2,js,523.3568
10,2,js,639.5952
11,2,js,780.8951999999999
12,2,js,905.2256
13,2,js,1166.0632
14,2,js,1273.7936000000002
15,2,js,1473.7232
16,2,js,1781.0983999999999
17,2,js,1987.0856
18,2,js,2207.5936
19,2,js,2167.1328
20,2,js,2671.0504
21,2,js,3012.8936
22,2,js,3320.4248
23,2,js,3306.8672
24,2,js,3816.404
25,2,js,4137.2072
26,2,js,4633.3984
27,2,js,5212.5296
28,2,js,5218.0552
29,2,js,5758.628
30,2,js,6602.754400000001
31,2,js,6537.8152
32,2,js,7566.6848
33,2,js,8227.953599999999
34,2,js,8839.2864
35,2,js,9264.6528
36,2,js,9906.304
37,2,js,10798.9336
38,2,js,10818.447199999999
39,2,js,11338.3712
40,2,js,11902.484
41,2,js,15577.875199999999
42,2,js,16239.6104
43,2,js,16769.764
44,2,js,16855.2792
45,2,js,16827.8256
46,2,js,16765.2904
47,2,js,16703.7344
48,2,js,16646.7752
49,2,js,16406.4008
50,2,js,16522.948
2,3,js,79.8456
3,3,js,122.7952
4,3,js,256.64
5,3,js,425.8656
6,3,js,708.8191999999999
7,3,js,1144.3952
8,3,js,1825.2968
9,3,js,2557.184
10,3,js,2957.3408
11,3,js,4136.4248
12,3,js,5508.3768
13,3,js,7093.0144
14,3,js,9103.409599999999
15,3,js,11438.784
16,3,js,13749.396
17,3,js,15957.4768
18,3,js,16202.6736
19,3,js,15109.356800000001
20,3,js,16124.268800000002
21,3,js,16016.0768
22,3,js,15608.069599999999
23,3,js,18510.5864
24,3,js,17364.4944
25,3,js,18537.621600000002
26,3,js,20466.104
27,3,js,18733.6136
28,3,js,22768.712
29,3,js,22728.888
30,3,js,24166.5752
31,3,js,25121.708
32,3,js,25029.8752
33,3,js,25984.8152
34,3,js,27585.3168
35,3,js,28917.180800000002
36,3,js,29667.5072
37,3,js,32313.4896
38,3,js,31843.031199999998
39,3,js,34461.6968
40,3,js,34978.116799999996
41,3,js,37967.861600000004
42,3,js,38448.436799999996
43,3,js,40902.236
44,3,js,43046.324799999995
45,3,js,45812.0704
46,3,js,46554.9128
47,3,js,49489.2416
48,3,js,50398.5464
2,4,js,141.0784
3,4,js,134.64479999999998
4,4,js,365.0648
5,4,js,920.3256
6,4,js,2295.3048
7,4,js,3823.5816
8,4,js,7327.990400000001
9,4,js,12994.228
10,4,js,8478.4104
11,4,js,12167.7696
12,4,js,15765.7056
13,4,js,18405.216
14,4,js,22029.92
15,4,js,20512.229600000002
16,4,js,20885.518399999997
17,4,js,22020.4872
18,4,js,22331.713600000003
19,4,js,25641.092
20,4,js,28189.0728
21,4,js,30022.2448
22,4,js,31951.7416
23,4,js,37145.0552
24,4,js,41751.0656
25,4,js,47546.3216
26,4,js,53842.490399999995
2,5,js,125.8088
3,5,js,179.352
4,5,js,372.46479999999997
5,5,js,1266.2008
6,5,js,3103.1664
7,5,js,7962.0048
8,5,js,8054.928
9,5,js,8154.254400000001
10,5,js,14865.1216
11,5,js,19921.436
12,5,js,19484.6312
13,5,js,20550.8504
14,5,js,19535.7384
15,5,js,24167.9032
16,5,js,29337.3168
17,5,js,33506.397600000004
18,5,js,38568.6232
19,5,js,47405.1688
20,5,js,57359.3384
2,6,js,102.0152
3,6,js,157.184
4,6,js,373.7592
5,6,js,1340.7472
6,6,js,3891.384
7,6,js,12420.58
8,6,js,9967.6224
9,6,js,14895.9376
10,6,js,15029.1088
11,6,js,19425.0776
12,6,js,22074.860800000002
13,6,js,20561.9512
14,6,js,23634.4392
15,6,js,33361.976
16,6,js,40234.454399999995
17,6,js,55450.02
2,7,js,116.86160000000001
3,7,js,183.4184
4,7,js,362.1064
