triples,k,mode,optimization_time
2,2,js,0.022449999999999994
3,2,js,0.04478333333333333
4,2,js,0.05993333333333332
5,2,js,0.08555000000000001
6,2,js,0.11906666666666671
7,2,js,0.15818333333333331
8,2,js,0.20435000000000014
9,2,js,0.2678333333333332
10,2,js,0.32585000000000003
11,2,js,0.3961
12,2,js,0.4828166666666665
13,2,js,0.5813999999999998
14,2,js,0.6879333333333333
15,2,js,0.8055500000000003
16,2,js,0.9466666666666671
17,2,js,1.1096833333333334
18,2,js,1.2471666666666665
19,2,js,1.4368833333333328
20,2,js,1.612816666666667
21,2,js,1.9216000000000002
22,2,js,2.1471999999999998
23,2,js,2.3850000000000002
24,2,js,2.6272
25,2,js,2.907
26,2,js,3.2206
27,2,js,3.6026000000000002
28,2,js,3.9727999999999994
29,2,js,4.4026
30,2,js,4.662599999999999
31,2,js,5.1122
32,2,js,5.535
33,2,js,6.3214
34,2,js,6.566399999999999
35,2,js,6.977200000000001
36,2,js,7.7796
37,2,js,8.3702
38,2,js,9.3222
39,2,js,9.8756
40,2,js,10.542200000000001
41,2,js,10.6336
42,2,js,10.9556
43,2,js,11.7982
44,2,js,12.539400000000002
45,2,js,13.4164
46,2,js,15.497800000000002
47,2,js,16.337400000000002
48,2,js,17.4778
49,2,js,18.7862
50,2,js,19.7044
2,3,js,0.021166666666666677
3,3,js,0.06675000000000003
4,3,js,0.08425000000000002
5,3,js,0.14688333333333334
6,3,js,0.25898333333333323
7,3,js,0.4245166666666667
8,3,js,0.6495500000000001
9,3,js,0.9689666666666664
10,3,js,1.361566666666667
11,3,js,1.8580333333333339
12,3,js,2.5073000000000003
13,3,js,3.2965333333333344
14,3,js,4.4789666666666665
15,3,js,5.780199999999999
16,3,js,7.626383333333334
17,3,js,8.019716666666667
18,3,js,12.157816666666667
19,3,js,14.18955
20,3,js,17.29146666666667
21,3,js,19.930200000000003
22,3,js,23.840600000000002
23,3,js,27.5884
24,3,js,31.620800000000003
25,3,js,36.52040000000001
26,3,js,43.0834
27,3,js,48.8562
28,3,js,56.922399999999996
